date_key,month,day,year,full_date
20220626,6,26,2022,2022-06-26
20200207,2,7,2020,2020-02-07
20180309,3,9,2018,2018-03-09
20190812,8,12,2019,2019-08-12
20220323,3,23,2022,2022-03-23
20181130,11,30,2018,2018-11-30
20200425,4,25,2020,2020-04-25
20180731,7,31,2018,2018-07-31
20201225,12,25,2020,2020-12-25
20200510,5,10,2020,2020-05-10
20201214,12,14,2020,2020-12-14
20220101,1,1,2022,2022-01-01
20180604,6,4,2018,2018-06-04
20190605,6,5,2019,2019-06-05
20220320,3,20,2022,2022-03-20
20180125,1,25,2018,2018-01-25
20201021,10,21,2020,2020-10-21
20181215,12,15,2018,2018-12-15
20220517,5,17,2022,2022-05-17
20190919,9,19,2019,2019-09-19
20180713,7,13,2018,2018-07-13
20211127,11,27,2021,2021-11-27
20220607,6,7,2022,2022-06-07
20220428,4,28,2022,2022-04-28
20220621,6,21,2022,2022-06-21
20190402,4,2,2019,2019-04-02
20190418,4,18,2019,2019-04-18
20210923,9,23,2021,2021-09-23
20210301,3,1,2021,2021-03-01
20200322,3,22,2020,2020-03-22
20200312,3,12,2020,2020-03-12
20190216,2,16,2019,2019-02-16
20220329,3,29,2022,2022-03-29
20220331,3,31,2022,2022-03-31
20190403,4,3,2019,2019-04-03
20191104,11,4,2019,2019-11-04
20190303,3,3,2019,2019-03-03
20191230,12,30,2019,2019-12-30
20200515,5,15,2020,2020-05-15
20200626,6,26,2020,2020-06-26
20201026,10,26,2020,2020-10-26
20210530,5,30,2021,2021-05-30
20190818,8,18,2019,2019-08-18
20200420,4,20,2020,2020-04-20
20191116,11,16,2019,2019-11-16
20220215,2,15,2022,2022-02-15
20190721,7,21,2019,2019-07-21
20181226,12,26,2018,2018-12-26
20190427,4,27,2019,2019-04-27
20180925,9,25,2018,2018-09-25
20201126,11,26,2020,2020-11-26
20211104,11,4,2021,2021-11-04
20181119,11,19,2018,2018-11-19
20180607,6,7,2018,2018-06-07
20200127,1,27,2020,2020-01-27
20210119,1,19,2021,2021-01-19
20201130,11,30,2020,2020-11-30
20190325,3,25,2019,2019-03-25
20190211,2,11,2019,2019-02-11
20180805,8,5,2018,2018-08-05
20220510,5,10,2022,2022-05-10
20210730,7,30,2021,2021-07-30
20200418,4,18,2020,2020-04-18
20200729,7,29,2020,2020-07-29
20200111,1,11,2020,2020-01-11
20180522,5,22,2018,2018-05-22
20220630,6,30,2022,2022-06-30
20180923,9,23,2018,2018-09-23
20210531,5,31,2021,2021-05-31
20201110,11,10,2020,2020-11-10
20200410,4,10,2020,2020-04-10
20211109,11,9,2021,2021-11-09
20220505,5,5,2022,2022-05-05
20190626,6,26,2019,2019-06-26
20180526,5,26,2018,2018-05-26
20191110,11,10,2019,2019-11-10
20201119,11,19,2020,2020-11-19
20211111,11,11,2021,2021-11-11
20200424,4,24,2020,2020-04-24
20210902,9,2,2021,2021-09-02
20220504,5,4,2022,2022-05-04
20220316,3,16,2022,2022-03-16
20191130,11,30,2019,2019-11-30
20210615,6,15,2021,2021-06-15
20210529,5,29,2021,2021-05-29
20180919,9,19,2018,2018-09-19
20220606,6,6,2022,2022-06-06
20220614,6,14,2022,2022-06-14
20201003,10,3,2020,2020-10-03
20220311,3,11,2022,2022-03-11
20201210,12,10,2020,2020-12-10
20180917,9,17,2018,2018-09-17
20190822,8,22,2019,2019-08-22
20200906,9,6,2020,2020-09-06
20210418,4,18,2021,2021-04-18
20180922,9,22,2018,2018-09-22
20180924,9,24,2018,2018-09-24
20191217,12,17,2019,2019-12-17
20181204,12,4,2018,2018-12-04
20220222,2,22,2022,2022-02-22
20181127,11,27,2018,2018-11-27
20200108,1,8,2020,2020-01-08
20180315,3,15,2018,2018-03-15
20191229,12,29,2019,2019-12-29
20180228,2,28,2018,2018-02-28
20180711,7,11,2018,2018-07-11
20190918,9,18,2019,2019-09-18
20220308,3,8,2022,2022-03-08
20220417,4,17,2022,2022-04-17
20180310,3,10,2018,2018-03-10
20200914,9,14,2020,2020-09-14
20200516,5,16,2020,2020-05-16
20200827,8,27,2020,2020-08-27
20210517,5,17,2021,2021-05-17
20200614,6,14,2020,2020-06-14
20180101,1,1,2018,2018-01-01
20201025,10,25,2020,2020-10-25
20220209,2,9,2022,2022-02-09
20200406,4,6,2020,2020-04-06
20200604,6,4,2020,2020-06-04
20220622,6,22,2022,2022-06-22
20211203,12,3,2021,2021-12-03
20200911,9,11,2020,2020-09-11
20180813,8,13,2018,2018-08-13
20180524,5,24,2018,2018-05-24
20200125,1,25,2020,2020-01-25
20201020,10,20,2020,2020-10-20
20190513,5,13,2019,2019-05-13
20190411,4,11,2019,2019-04-11
20190522,5,22,2019,2019-05-22
20200331,3,31,2020,2020-03-31
20210308,3,8,2021,2021-03-08
20180728,7,28,2018,2018-07-28
20210820,8,20,2021,2021-08-20
20220402,4,2,2022,2022-04-02
20211101,11,1,2021,2021-11-01
20200103,1,3,2020,2020-01-03
20180328,3,28,2018,2018-03-28
20201027,10,27,2020,2020-10-27
20180311,3,11,2018,2018-03-11
20220703,7,3,2022,2022-07-03
20191213,12,13,2019,2019-12-13
20180912,9,12,2018,2018-09-12
20201221,12,21,2020,2020-12-21
20181220,12,20,2018,2018-12-20
20200601,6,1,2020,2020-06-01
20181208,12,8,2018,2018-12-08
20181002,10,2,2018,2018-10-02
20181121,11,21,2018,2018-11-21
20211118,11,18,2021,2021-11-18
20190404,4,4,2019,2019-04-04
20200203,2,3,2020,2020-02-03
20180303,3,3,2018,2018-03-03
20180531,5,31,2018,2018-05-31
20200101,1,1,2020,2020-01-01
20190714,7,14,2019,2019-07-14
20200627,6,27,2020,2020-06-27
20200630,6,30,2020,2020-06-30
20190710,7,10,2019,2019-07-10
20181118,11,18,2018,2018-11-18
20190517,5,17,2019,2019-05-17
20180207,2,7,2018,2018-02-07
20190705,7,5,2019,2019-07-05
20210813,8,13,2021,2021-08-13
20211225,12,25,2021,2021-12-25
20210203,2,3,2021,2021-02-03
20200526,5,26,2020,2020-05-26
20180513,5,13,2018,2018-05-13
20191222,12,22,2019,2019-12-22
20220204,2,4,2022,2022-02-04
20181221,12,21,2018,2018-12-21
20181113,11,13,2018,2018-11-13
20220511,5,11,2022,2022-05-11
20181207,12,7,2018,2018-12-07
20200907,9,7,2020,2020-09-07
20180411,4,11,2018,2018-04-11
20210515,5,15,2021,2021-05-15
20190405,4,5,2019,2019-04-05
20180618,6,18,2018,2018-06-18
20200324,3,24,2020,2020-03-24
20200502,5,2,2020,2020-05-02
20181210,12,10,2018,2018-12-10
20180723,7,23,2018,2018-07-23
20200705,7,5,2020,2020-07-05
20200423,4,23,2020,2020-04-23
20201116,11,16,2020,2020-11-16
20211005,10,5,2021,2021-10-05
20201226,12,26,2020,2020-12-26
20180302,3,2,2018,2018-03-02
20181107,11,7,2018,2018-11-07
20220526,5,26,2022,2022-05-26
20191123,11,23,2019,2019-11-23
20211116,11,16,2021,2021-11-16
20180722,7,22,2018,2018-07-22
20211124,11,24,2021,2021-11-24
20191105,11,5,2019,2019-11-05
20181005,10,5,2018,2018-10-05
20190708,7,8,2019,2019-07-08
20200412,4,12,2020,2020-04-12
20180118,1,18,2018,2018-01-18
20180417,4,17,2018,2018-04-17
20200129,1,29,2020,2020-01-29
20190318,3,18,2019,2019-03-18
20200707,7,7,2020,2020-07-07
20211223,12,23,2021,2021-12-23
20210303,3,3,2021,2021-03-03
20180824,8,24,2018,2018-08-24
20220403,4,3,2022,2022-04-03
20181205,12,5,2018,2018-12-05
20190323,3,23,2019,2019-03-23
20220508,5,8,2022,2022-05-08
20220701,7,1,2022,2022-07-01
20210319,3,19,2021,2021-03-19
20210324,3,24,2021,2021-03-24
20201106,11,6,2020,2020-11-06
20210728,7,28,2021,2021-07-28
20201011,10,11,2020,2020-10-11
20210522,5,22,2021,2021-05-22
20210802,8,2,2021,2021-08-02
20220625,6,25,2022,2022-06-25
20180816,8,16,2018,2018-08-16
20200830,8,30,2020,2020-08-30
20220123,1,23,2022,2022-01-23
20220203,2,3,2022,2022-02-03
20210320,3,20,2021,2021-03-20
20180412,4,12,2018,2018-04-12
20200226,2,26,2020,2020-02-26
20200305,3,5,2020,2020-03-05
20200211,2,11,2020,2020-02-11
20200805,8,5,2020,2020-08-05
20180702,7,2,2018,2018-07-02
20210322,3,22,2021,2021-03-22
20200821,8,21,2020,2020-08-21
20201206,12,6,2020,2020-12-06
20210424,4,24,2021,2021-04-24
20210917,9,17,2021,2021-09-17
20190326,3,26,2019,2019-03-26
20200113,1,13,2020,2020-01-13
20180608,6,8,2018,2018-06-08
20210724,7,24,2021,2021-07-24
20201213,12,13,2020,2020-12-13
20211216,12,16,2021,2021-12-16
20190124,1,24,2019,2019-01-24
20201202,12,2,2020,2020-12-02
20201008,10,8,2020,2020-10-08
20180615,6,15,2018,2018-06-15
20210609,6,9,2021,2021-06-09
20210625,6,25,2021,2021-06-25
20180714,7,14,2018,2018-07-14
20190204,2,4,2019,2019-02-04
20210420,4,20,2021,2021-04-20
20190606,6,6,2019,2019-06-06
20210703,7,3,2021,2021-07-03
20180909,9,9,2018,2018-09-09
20220531,5,31,2022,2022-05-31
20191016,10,16,2019,2019-10-16
20211120,11,20,2021,2021-11-20
20200913,9,13,2020,2020-09-13
20220628,6,28,2022,2022-06-28
20200205,2,5,2020,2020-02-05
20180106,1,6,2018,2018-01-06
20190514,5,14,2019,2019-05-14
20190528,5,28,2019,2019-05-28
20201002,10,2,2020,2020-10-02
20190316,3,16,2019,2019-03-16
20200118,1,18,2020,2020-01-18
20201118,11,18,2020,2020-11-18
20180403,4,3,2018,2018-04-03
20210223,2,23,2021,2021-02-23
20210209,2,9,2021,2021-02-09
20210807,8,7,2021,2021-08-07
20190417,4,17,2019,2019-04-17
20220306,3,6,2022,2022-03-06
20200202,2,2,2020,2020-02-02
20210913,9,13,2021,2021-09-13
20180505,5,5,2018,2018-05-05
20200824,8,24,2020,2020-08-24
20211015,10,15,2021,2021-10-15
20220618,6,18,2022,2022-06-18
20190720,7,20,2019,2019-07-20
20210414,4,14,2021,2021-04-14
20210825,8,25,2021,2021-08-25
20180113,1,13,2018,2018-01-13
20220106,1,6,2022,2022-01-06
20220519,5,19,2022,2022-05-19
20190910,9,10,2019,2019-09-10
20181122,11,22,2018,2018-11-22
20220102,1,2,2022,2022-01-02
20220109,1,9,2022,2022-01-09
20180920,9,20,2018,2018-09-20
20211228,12,28,2021,2021-12-28
20191121,11,21,2019,2019-11-21
20211018,10,18,2021,2021-10-18
20190904,9,4,2019,2019-09-04
20190706,7,6,2019,2019-07-06
20180515,5,15,2018,2018-05-15
20200710,7,10,2020,2020-07-10
20220515,5,15,2022,2022-05-15
20190111,1,11,2019,2019-01-11
20190628,6,28,2019,2019-06-28
20191208,12,8,2019,2019-12-08
20181014,10,14,2018,2018-10-14
20190717,7,17,2019,2019-07-17
20220501,5,1,2022,2022-05-01
20210803,8,3,2021,2021-08-03
20200308,3,8,2020,2020-03-08
20211231,12,31,2021,2021-12-31
20211028,10,28,2021,2021-10-28
20220527,5,27,2022,2022-05-27
20210804,8,4,2021,2021-08-04
20191221,12,21,2019,2019-12-21
20210612,6,12,2021,2021-06-12
20200810,8,10,2020,2020-08-10
20190915,9,15,2019,2019-09-15
20190602,6,2,2019,2019-06-02
20190202,2,2,2019,2019-02-02
20220521,5,21,2022,2022-05-21
20200703,7,3,2020,2020-07-03
20180628,6,28,2018,2018-06-28
20201211,12,11,2020,2020-12-11
20220422,4,22,2022,2022-04-22
20220103,1,3,2022,2022-01-03
20220317,3,17,2022,2022-03-17
20210713,7,13,2021,2021-07-13
20200514,5,14,2020,2020-05-14
20200416,4,16,2020,2020-04-16
20180126,1,26,2018,2018-01-26
20210614,6,14,2021,2021-06-14
20200930,9,30,2020,2020-09-30
20210519,5,19,2021,2021-05-19
20210510,5,10,2021,2021-05-10
20200702,7,2,2020,2020-07-02
20200825,8,25,2020,2020-08-25
20200209,2,9,2020,2020-02-09
20200817,8,17,2020,2020-08-17
20200709,7,9,2020,2020-07-09
20210215,2,15,2021,2021-02-15
20200216,2,16,2020,2020-02-16
20190131,1,31,2019,2019-01-31
20180612,6,12,2018,2018-06-12
20190115,1,15,2019,2019-01-15
20190305,3,5,2019,2019-03-05
20200327,3,27,2020,2020-03-27
20181114,11,14,2018,2018-11-14
20190113,1,13,2019,2019-01-13
20190420,4,20,2019,2019-04-20
20210220,2,20,2021,2021-02-20
20210224,2,24,2021,2021-02-24
20180625,6,25,2018,2018-06-25
20220513,5,13,2022,2022-05-13
20200612,6,12,2020,2020-06-12
20200621,6,21,2020,2020-06-21
20181209,12,9,2018,2018-12-09
20210817,8,17,2021,2021-08-17
20180508,5,8,2018,2018-05-08
20211029,10,29,2021,2021-10-29
20210905,9,5,2021,2021-09-05
20181218,12,18,2018,2018-12-18
20210107,1,7,2021,2021-01-07
20201212,12,12,2020,2020-12-12
20191002,10,2,2019,2019-10-02
20180704,7,4,2018,2018-07-04
20211217,12,17,2021,2021-12-17
20190707,7,7,2019,2019-07-07
20210514,5,14,2021,2021-05-14
20190510,5,10,2019,2019-05-10
20210228,2,28,2021,2021-02-28
20200625,6,25,2020,2020-06-25
20210225,2,25,2021,2021-02-25
20210903,9,3,2021,2021-09-03
20180206,2,6,2018,2018-02-06
20180825,8,25,2018,2018-08-25
20191028,10,28,2019,2019-10-28
20191124,11,24,2019,2019-11-24
20191207,12,7,2019,2019-12-07
20220112,1,12,2022,2022-01-12
20200816,8,16,2020,2020-08-16
20190902,9,2,2019,2019-09-02
20200722,7,22,2020,2020-07-22
20211212,12,12,2021,2021-12-12
20180601,6,1,2018,2018-06-01
20190803,8,3,2019,2019-08-03
20200915,9,15,2020,2020-09-15
20181217,12,17,2018,2018-12-17
20181216,12,16,2018,2018-12-16
20181101,11,1,2018,2018-11-01
20211125,11,25,2021,2021-11-25
20211222,12,22,2021,2021-12-22
20210830,8,30,2021,2021-08-30
20190703,7,3,2019,2019-07-03
20191021,10,21,2019,2019-10-21
20211107,11,7,2021,2021-11-07
20190611,6,11,2019,2019-06-11
20180624,6,24,2018,2018-06-24
20211007,10,7,2021,2021-10-07
20191015,10,15,2019,2019-10-15
20200223,2,23,2020,2020-02-23
20190715,7,15,2019,2019-07-15
20211230,12,30,2021,2021-12-30
20200828,8,28,2020,2020-08-28
20191005,10,5,2019,2019-10-05
20190507,5,7,2019,2019-05-07
20180804,8,4,2018,2018-08-04
20210205,2,5,2021,2021-02-05
20210826,8,26,2021,2021-08-26
20210216,2,16,2021,2021-02-16
20180606,6,6,2018,2018-06-06
20210315,3,15,2021,2021-03-15
20180216,2,16,2018,2018-02-16
20210116,1,16,2021,2021-01-16
20180218,2,18,2018,2018-02-18
20210302,3,2,2021,2021-03-02
20210907,9,7,2021,2021-09-07
20190718,7,18,2019,2019-07-18
20210512,5,12,2021,2021-05-12
20200201,2,1,2020,2020-02-01
20210706,7,6,2021,2021-07-06
20190920,9,20,2019,2019-09-20
20220410,4,10,2022,2022-04-10
20180829,8,29,2018,2018-08-29
20190808,8,8,2019,2019-08-08
20190811,8,11,2019,2019-08-11
20190728,7,28,2019,2019-07-28
20200222,2,22,2020,2020-02-22
20210503,5,3,2021,2021-05-03
20191218,12,18,2019,2019-12-18
20200307,3,7,2020,2020-03-07
20200528,5,28,2020,2020-05-28
20190907,9,7,2019,2019-09-07
20180823,8,23,2018,2018-08-23
20180815,8,15,2018,2018-08-15
20190329,3,29,2019,2019-03-29
20200225,2,25,2020,2020-02-25
20180104,1,4,2018,2018-01-04
20220603,6,3,2022,2022-06-03
20210912,9,12,2021,2021-09-12
20190119,1,19,2019,2019-01-19
20181213,12,13,2018,2018-12-13
20200519,5,19,2020,2020-05-19
20180215,2,15,2018,2018-02-15
20180630,6,30,2018,2018-06-30
20180708,7,8,2018,2018-07-08
20190928,9,28,2019,2019-09-28
20220404,4,4,2022,2022-04-04
20180420,4,20,2018,2018-04-20
20181111,11,11,2018,2018-11-11
20201204,12,4,2020,2020-12-04
20210831,8,31,2021,2021-08-31
20201115,11,15,2020,2020-11-15
20210312,3,12,2021,2021-03-12
20191024,10,24,2019,2019-10-24
20210910,9,10,2021,2021-09-10
20191003,10,3,2019,2019-10-03
20220424,4,24,2022,2022-04-24
20220327,3,27,2022,2022-03-27
20190212,2,12,2019,2019-02-12
20181027,10,27,2018,2018-10-27
20200212,2,12,2020,2020-02-12
20191031,10,31,2019,2019-10-31
20190616,6,16,2019,2019-06-16
20201014,10,14,2020,2020-10-14
20210404,4,4,2021,2021-04-04
20200807,8,7,2020,2020-08-07
20180814,8,14,2018,2018-08-14
20181016,10,16,2018,2018-10-16
20210113,1,13,2021,2021-01-13
20180318,3,18,2018,2018-03-18
20191113,11,13,2019,2019-11-13
20220412,4,12,2022,2022-04-12
20220612,6,12,2022,2022-06-12
20200610,6,10,2020,2020-06-10
20190206,2,6,2019,2019-02-06
20191227,12,27,2019,2019-12-27
20201024,10,24,2020,2020-10-24
20190711,7,11,2019,2019-07-11
20210306,3,6,2021,2021-03-06
20190926,9,26,2019,2019-09-26
20200114,1,14,2020,2020-01-14
20180905,9,5,2018,2018-09-05
20190726,7,26,2019,2019-07-26
20210128,1,28,2021,2021-01-28
20200602,6,2,2020,2020-06-02
20220224,2,24,2022,2022-02-24
20190209,2,9,2019,2019-02-09
20180716,7,16,2018,2018-07-16
20211009,10,9,2021,2021-10-09
20180915,9,15,2018,2018-09-15
20181008,10,8,2018,2018-10-08
20180204,2,4,2018,2018-02-04
20180530,5,30,2018,2018-05-30
20181010,10,10,2018,2018-10-10
20220406,4,6,2022,2022-04-06
20210722,7,22,2021,2021-07-22
20220420,4,20,2022,2022-04-20
20200328,3,28,2020,2020-03-28
20220609,6,9,2022,2022-06-09
20190831,8,31,2019,2019-08-31
20211106,11,6,2021,2021-11-06
20220503,5,3,2022,2022-05-03
20220523,5,23,2022,2022-05-23
20180721,7,21,2018,2018-07-21
20210628,6,28,2021,2021-06-28
20200214,2,14,2020,2020-02-14
20181020,10,20,2018,2018-10-20
20180913,9,13,2018,2018-09-13
20210122,1,22,2021,2021-01-22
20180330,3,30,2018,2018-03-30
20210630,6,30,2021,2021-06-30
20180329,3,29,2018,2018-03-29
20220201,2,1,2022,2022-02-01
20220405,4,5,2022,2022-04-05
20210524,5,24,2021,2021-05-24
20200512,5,12,2020,2020-05-12
20191009,10,9,2019,2019-10-09
20200529,5,29,2020,2020-05-29
20220416,4,16,2022,2022-04-16
20210604,6,4,2021,2021-06-04
20200104,1,4,2020,2020-01-04
20211208,12,8,2021,2021-12-08
20211121,11,21,2021,2021-11-21
20191203,12,3,2019,2019-12-03
20190825,8,25,2019,2019-08-25
20200718,7,18,2020,2020-07-18
20220525,5,25,2022,2022-05-25
20190806,8,6,2019,2019-08-06
20210709,7,9,2021,2021-07-09
20220110,1,10,2022,2022-01-10
20210829,8,29,2021,2021-08-29
20210827,8,27,2021,2021-08-27
20211008,10,8,2021,2021-10-08
20180122,1,22,2018,2018-01-22
20200909,9,9,2020,2020-09-09
20190324,3,24,2019,2019-03-24
20210619,6,19,2021,2021-06-19
20201120,11,20,2020,2020-11-20
20200427,4,27,2020,2020-04-27
20220118,1,18,2022,2022-01-18
20210217,2,17,2021,2021-02-17
20220627,6,27,2022,2022-06-27
20180627,6,27,2018,2018-06-27
20180408,4,8,2018,2018-04-08
20180616,6,16,2018,2018-06-16
20210331,3,31,2021,2021-03-31
20190515,5,15,2019,2019-05-15
20180509,5,9,2018,2018-05-09
20180511,5,11,2018,2018-05-11
20200426,4,26,2020,2020-04-26
20210629,6,29,2021,2021-06-29
20190518,5,18,2019,2019-05-18
20200924,9,24,2020,2020-09-24
20190524,5,24,2019,2019-05-24
20210710,7,10,2021,2021-07-10
20210717,7,17,2021,2021-07-17
20190225,2,25,2019,2019-02-25
20180413,4,13,2018,2018-04-13
20191206,12,6,2019,2019-12-06
20210821,8,21,2021,2021-08-21
20180102,1,2,2018,2018-01-02
20210622,6,22,2021,2021-06-22
20210720,7,20,2021,2021-07-20
20220414,4,14,2022,2022-04-14
20190614,6,14,2019,2019-06-14
20190223,2,23,2019,2019-02-23
20200826,8,26,2020,2020-08-26
20200123,1,23,2020,2020-01-23
20190725,7,25,2019,2019-07-25
20191030,10,30,2019,2019-10-30
20200905,9,5,2020,2020-09-05
20200506,5,6,2020,2020-05-06
20180211,2,11,2018,2018-02-11
20210521,5,21,2021,2021-05-21
20200929,9,29,2020,2020-09-29
20220226,2,26,2022,2022-02-26
20191020,10,20,2019,2019-10-20
20191127,11,27,2019,2019-11-27
20200716,7,16,2020,2020-07-16
20190830,8,30,2019,2019-08-30
20210104,1,4,2021,2021-01-04
20180224,2,24,2018,2018-02-24
20210313,3,13,2021,2021-03-13
20220216,2,16,2022,2022-02-16
20180312,3,12,2018,2018-03-12
20191007,10,7,2019,2019-10-07
20190412,4,12,2019,2019-04-12
20210623,6,23,2021,2021-06-23
20220302,3,2,2022,2022-03-02
20191126,11,26,2019,2019-11-26
20200227,2,27,2020,2020-02-27
20180602,6,2,2018,2018-06-02
20200531,5,31,2020,2020-05-31
20200401,4,1,2020,2020-04-01
20220206,2,6,2022,2022-02-06
20210528,5,28,2021,2021-05-28
20210425,4,25,2021,2021-04-25
20190105,1,5,2019,2019-01-05
20201215,12,15,2020,2020-12-15
20201104,11,4,2020,2020-11-04
20190415,4,15,2019,2019-04-15
20220130,1,30,2022,2022-01-30
20200319,3,19,2020,2020-03-19
20210824,8,24,2021,2021-08-24
20201122,11,22,2020,2020-11-22
20201007,10,7,2020,2020-10-07
20190828,8,28,2019,2019-08-28
20220407,4,7,2022,2022-04-07
20200326,3,26,2020,2020-03-26
20200530,5,30,2020,2020-05-30
20180705,7,5,2018,2018-07-05
20191010,10,10,2019,2019-10-10
20200315,3,15,2020,2020-03-15
20210526,5,26,2021,2021-05-26
20200708,7,8,2020,2020-07-08
20180706,7,6,2018,2018-07-06
20180507,5,7,2018,2018-05-07
20200903,9,3,2020,2020-09-03
20220613,6,13,2022,2022-06-13
20200504,5,4,2020,2020-05-04
20190914,9,14,2019,2019-09-14
20201201,12,1,2020,2020-12-01
20180806,8,6,2018,2018-08-06
20210518,5,18,2021,2021-05-18
20220506,5,6,2022,2022-05-06
20210611,6,11,2021,2021-06-11
20200105,1,5,2020,2020-01-05
20210207,2,7,2021,2021-02-07
20190308,3,8,2019,2019-03-08
20190709,7,9,2019,2019-07-09
